txn_id,date,from_clabe,to_clabe,amount,reference,channel
BNK-00035,2025-04-06,000000000000000099,021813842842734405,95547.83,Pago SPEI INV-00045,SPEI
BNK-00036,2025-09-29,000000000000000099,021813842842734405,36352.74,Pago SPEI INV-00047,SPEI
BNK-00037,2025-12-28,000000000000000099,002109935726999430,36416.47,Pago SPEI INV-00048,SPEI
BNK-00038,2025-12-06,000000000000000099,002187775680286238,144253.93,Pago SPEI INV-00049,SPEI
BNK-00039,2025-11-06,000000000000000099,002187775680286238,176227.13,Pago SPEI INV-00050,SPEI
BNK-00040,2025-03-23,000000000000000099,127903506089517386,181698.93,Pago SPEI INV-00051,SPEI
BNK-00041,2026-02-19,000000000000000099,127756243459444311,85967.58,Pago SPEI INV-00052,SPEI
BNK-00042,2025-02-16,000000000000000099,127930117707910232,39152.48,Pago SPEI INV-00053,SPEI
BNK-00043,2025-03-06,000000000000000099,014726993658137773,98988.77,Pago SPEI INV-00055,SPEI
BNK-00044,2025-11-19,000000000000000099,127903506089517386,136894.37,Pago SPEI INV-00056,SPEI
BNK-00045,2025-09-05,000000000000000099,044315560317938315,82271.52,Pago SPEI INV-00058,SPEI
BNK-00046,2025-09-30,000000000000000099,012702109458264863,148857.55,Pago SPEI INV-00059,SPEI
BNK-00047,2025-11-25,000000000000000099,012702109458264863,123889.36,Pago SPEI INV-00060,SPEI
BNK-00048,2026-01-31,000000000000000099,072381411165735844,59327.96,Dispersion nomina quincenal EMP:0001,SPEI
BNK-00049,2026-01-31,000000000000000099,072658876828107540,53005.61,Dispersion nomina quincenal EMP:0002,SPEI
BNK-00050,2026-01-31,000000000000000099,012338937748630578,63641.14,Dispersion nomina quincenal EMP:0003,SPEI
BNK-00051,2026-01-31,000000000000000099,072818681750806944,47817.63,Dispersion nomina quincenal EMP:0004,SPEI
BNK-00052,2026-01-31,000000000000000099,127990349358038371,37120.79,Dispersion nomina quincenal EMP:0005,SPEI
BNK-00053,2026-01-31,000000000000000099,012881243305644737,46850.5,Dispersion nomina quincenal EMP:0006,SPEI
BNK-00054,2026-01-31,000000000000000099,127452469527219239,31147.77,Dispersion nomina quincenal EMP:0007,SPEI
BNK-00055,2026-01-31,000000000000000099,002487833528882967,50239.66,Dispersion nomina quincenal EMP:0008,SPEI
BNK-00056,2026-01-31,000000000000000099,127470382495123833,31642.53,Dispersion nomina quincenal EMP:0009,SPEI
BNK-00057,2026-01-31,000000000000000099,127396228214288126,26653.39,Dispersion nomina quincenal EMP:0010,SPEI
BNK-00058,2026-02-14,000000000000000099,014217476351046207,92800.0,Liquidacion INV-00061,SPEI
BNK-00059,2026-02-26,000000000000000099,014217476351046207,46400.0,Liquidacion INV-00062,SPEI
BNK-00060,2026-02-08,000000000000000099,012926942746620275,125000.0,Pago factura INV-00063,SPEI
BNK-00061,2026-02-10,012926942746620275,127990349358038371,25000.0,Comision retorno honorarios,SPEI
BNK-00062,2026-03-01,000000000000000099,072670917171379690,250000.0,Transferencia capital INV-00064,SPEI
BNK-00063,2026-03-02,072670917171379690,127810111486792347,245000.0,Subcontratacion de servicios,SPEI
BNK-00064,2026-03-03,127810111486792347,000000000000000099,245000.0,Devolucion de anticipo / inversion,SPEI
BNK-00065,2026-02-20,000000000000000099,014819519292296060,48600.0,Pago factura fraccionada INV-00065,SPEI
BNK-00066,2026-02-21,000000000000000099,014819519292296060,48600.0,Pago factura fraccionada INV-00066,SPEI
BNK-00067,2026-02-22,000000000000000099,014819519292296060,48600.0,Pago factura fraccionada INV-00067,SPEI
BNK-00068,2026-02-23,000000000000000099,014819519292296060,48600.0,Pago factura fraccionada INV-00068,SPEI
BNK-00069,2026-01-15,000000000000000099,127470382495123833,55000.0,Reembolso reubicacion ejecutiva,SPEI
