acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
40,C_40,I,A,USD,false,1,0,1000000,70798.81,,bank,Chad,Clark,855 Lisa Wells,Mooreburgh,NY,US,10522,Male,2016-02-22,509-73-3498,-53.665758,-54.531998
41,C_41,I,A,USD,false,1,0,1000000,97577.93,,bank,Robert,Mclaughlin,9927 Christina Burg Suite 774,East Angelaburgh,TN,US,65342,Male,1985-01-03,322-91-1291,-40.865448,-53.1050825
42,C_42,I,A,USD,false,1,0,1000000,53933.01,,bank,Mary,Perez,4603 Leslie Summit,West Michelle,TN,US,95632,Female,1957-07-14,688-21-4996,-170.885800,5.659097
43,C_43,I,A,USD,false,1,0,1000000,98240.77,,bank,Andrea,Brown,250 Burton Burg,North Alexander,SD,US,43318,Female,2001-01-22,433-18-3548,61.037241,26.826649
44,C_44,I,A,USD,false,1,0,1000000,63653.33,,bank,Charles,Melton,56606 Ferguson Unions Suite 091,Finleyburgh,AL,US,66109,Male,1980-08-21,861-94-2428,-137.239617,-1.4026065
45,C_45,I,A,USD,false,1,0,1000000,75736.41,,bank,Andrew,Peterson,02821 Pennington Rapid,New Courtneyberg,RI,US,79402,Male,2011-02-19,751-49-0447,155.954579,-80.251485
46,C_46,I,A,USD,false,1,0,1000000,68646.01,,bank,Joshua,Madden,2738 Martin Terrace Suite 547,Smithhaven,MH,US,38279,Male,2015-11-20,545-74-9046,-39.100063,-79.7186935
47,C_47,I,A,USD,false,1,0,1000000,50687.14,,bank,Whitney,Gill,5700 Singh Bypass,Erinshire,UT,US,38482,Female,2014-06-25,542-67-5576,27.270695,-22.7210085
48,C_48,I,A,USD,false,1,0,1000000,86651.57,,bank,Erica,Patton,98522 Mathis Viaduct Apt. 909,West Michael,SC,US,38960,Female,1992-06-13,442-22-0017,-104.430728,62.6331415
49,C_49,I,A,USD,true,1,0,1000000,89135.94,,bank,Arthur,Fowler,0749 Chad Manors,Stephanieburgh,NC,US,22764,Male,1989-08-03,113-65-8904,144.831420,13.266782
50,C_50,I,A,USD,false,1,0,1000000,72213.16,,bank,Rachel,Miles,4064 Medina Plaza Suite 536,Port Adam,NY,US,20860,Female,2017-01-21,577-50-5914,69.178202,-80.2372265
51,C_51,I,A,USD,false,1,0,1000000,60511.57,,bank,Theresa,House,930 Rice Estate Apt. 570,New Patricia,KY,US,24767,Female,1921-04-19,587-58-3879,61.406191,46.6065415
52,C_52,I,A,USD,false,1,0,1000000,63002.92,,bank,Lauren,Gomez,514 Travis Track Suite 366,Rowefurt,UT,US,05536,Female,1988-02-08,130-73-4561,-3.844152,-83.476675
53,C_53,I,A,USD,true,1,0,1000000,62749.07,,bank,Susan,Joyce,19550 James Creek,Williamstown,MD,US,51966,Female,2014-10-10,651-36-6659,-103.693490,69.8971105
54,C_54,I,A,USD,false,1,0,1000000,98105.52,,bank,Robin,Miller,022 Renee Squares Apt. 808,Herringstad,AS,US,77293,Female,1934-06-07,833-34-3304,-39.895752,-1.9697705
55,C_55,I,A,USD,true,1,0,1000000,84735.69,,bank,Robert,Boyd,8727 Benjamin Prairie Apt. 805,East Deborahmouth,RI,US,31790,Male,2007-04-05,342-84-2210,75.811232,59.2286655
56,C_56,I,A,USD,false,1,0,1000000,68179.88,,bank,William,Hensley,501 Ronald Knoll,Rogersfurt,NY,US,47956,Male,1926-11-13,140-41-0373,-81.967761,-56.4187505
57,C_57,I,A,USD,false,1,0,1000000,74652.77,,bank,Peter,Chambers,60460 Michael Village,South Brianstad,PA,US,81783,Male,1987-04-13,870-59-6754,-83.005530,-81.762098
58,C_58,I,A,USD,false,1,0,1000000,97111.38,,bank,Scott,Nichols,61511 Michael Fall Suite 905,Gibbsfort,NJ,US,11045,Male,1965-05-25,810-34-0456,167.890933,48.4764645
59,C_59,I,A,USD,false,1,0,1000000,51067.89,,bank,Christopher,Kelley,5170 Regina Road,Susantown,MS,US,44762,Male,1930-09-07,165-23-2605,163.661827,-24.8825485
60,C_60,I,A,USD,false,1,0,1000000,84707.30,,bank,Karl,Smith,34523 Perez Wells,Fordshire,DC,US,51161,Male,1990-02-16,006-88-6389,-87.678450,-50.0356465
61,C_61,I,A,USD,false,1,0,1000000,55069.67,,bank,Thomas,Cox,000 Ashley Drive Apt. 606,Bradleymouth,VT,US,33001,Male,1940-03-07,547-52-1197,-110.315429,19.456834
62,C_62,I,A,USD,true,1,0,1000000,83732.75,,bank,Alison,Carr,66376 Sabrina Garden Suite 691,Whitneyhaven,MN,US,71586,Female,1975-04-13,898-31-4527,-158.361904,74.005087
63,C_63,I,A,USD,false,1,0,1000000,76407.42,,bank,John,Moore,180 Jennifer Burg Suite 661,Munozburgh,GA,US,45130,Male,1949-04-22,781-65-1844,17.720148,2.723188
64,C_64,I,A,USD,false,1,0,1000000,50082.14,,bank,Nicholas,Reed,8034 Jennifer Islands Suite 604,Johnsonchester,KY,US,49674,Male,1928-09-05,113-79-5849,-91.009336,-81.6178835
65,C_65,I,A,USD,false,1,0,1000000,52517.33,,bank,Noah,Moran,1168 Gary Fords Apt. 308,Port Trevor,MH,US,82204,Male,1956-04-23,701-16-6699,-39.464104,-47.5013815
66,C_66,I,A,USD,false,1,0,1000000,90804.48,,bank,Melinda,Moore,268 Young Lane Suite 678,Tamichester,GU,US,13308,Female,1911-05-13,598-77-8473,-122.654707,83.7732945
67,C_67,I,A,USD,false,1,0,1000000,67761.01,,bank,Melissa,Estrada,9261 Alex Lake,Floresmouth,MN,US,77080,Female,2021-03-21,795-30-2606,121.530876,58.0772915
68,C_68,I,A,USD,false,1,0,1000000,81377.43,,bank,Kevin,Gillespie,202 Franklin Fords,Ericksonfurt,KS,US,03275,Male,1934-01-05,452-73-0880,21.352418,-66.7011465
69,C_69,I,A,USD,false,1,0,1000000,50567.74,,bank,Eric,Lynch,3870 Harvey Grove Suite 867,Herbertside,MN,US,21412,Male,1930-03-30,468-09-1123,76.684375,15.560639
70,C_70,I,A,USD,false,1,0,1000000,89530.07,,bank,Adam,Atkins,147 Lisa Hill Apt. 512,Port Elizabethshire,OH,US,26519,Male,1986-09-04,717-97-9859,83.252140,-61.2654545
71,C_71,I,A,USD,false,1,0,1000000,50369.88,,bank,Darrell,Richardson,74430 Kelly Pass,Christopherport,OK,US,55851,Male,1962-07-27,882-98-2384,-55.645210,-12.716698
72,C_72,I,A,USD,false,1,0,1000000,94290.68,,bank,Willie,Delacruz,65873 Chen Knolls,Ramirezfurt,WI,US,94134,Male,1975-12-26,299-16-7308,-97.178993,2.345970
73,C_73,I,A,USD,false,1,0,1000000,95321.99,,bank,Samantha,Reynolds,7879 Emma Parkway Suite 735,North Thomasfurt,MH,US,30303,Female,1917-04-24,590-99-0663,38.239551,-64.907138
74,C_74,I,A,USD,false,1,0,1000000,85691.61,,bank,Kelly,Howell,12503 Alan Place Apt. 219,North Joyce,ID,US,00696,Female,1967-03-15,069-69-2903,-54.210645,-29.0786485
75,C_75,I,A,USD,false,1,0,1000000,90906.82,,bank,Christina,Romero,7298 Johnathan Cove Apt. 402,South Jamie,TN,US,42383,Female,1927-01-27,574-14-7777,-113.134218,46.632809
76,C_76,I,A,USD,false,1,0,1000000,53369.68,,bank,Jessica,Ward,73576 Sergio Avenue Suite 736,West Thomas,FL,US,30419,Female,1976-11-11,614-20-8559,-132.993453,-39.639688
77,C_77,I,A,USD,false,1,0,1000000,95122.21,,bank,Christopher,Williams,25059 Katie Mountain,Byrdchester,NM,US,25673,Male,2019-10-29,791-44-8535,-79.259848,-1.939347
78,C_78,I,A,USD,false,1,0,1000000,95387.76,,bank,Leonard,Guerrero,97939 Johnson Oval Suite 830,North Dennismouth,VI,US,88870,Male,1925-07-15,883-97-8450,48.453322,83.3362645
79,C_79,I,A,USD,false,1,0,1000000,93633.26,,bank,Colleen,Wilson,573 Nathan Ville Suite 767,Meghanmouth,CA,US,19714,Female,1931-11-23,404-60-8858,-67.246382,8.751045
80,C_80,I,A,USD,false,1,0,1000000,59272.05,,bank,Kimberly,Jones,3169 Fernandez Roads,Lake Derekfort,ME,US,50327,Female,1993-01-05,749-64-0251,-70.501675,22.5666445
81,C_81,I,A,USD,false,1,0,1000000,94429.59,,bank,Paul,Pennington,1039 Brianna Passage Suite 274,New Sergiobury,MS,US,50840,Male,1941-10-07,844-76-4324,-132.230743,-78.1862705
82,C_82,I,A,USD,false,1,0,1000000,92319.97,,bank,Ashley,Carter,87656 Darryl Rest Apt. 201,Wrightview,KS,US,50871,Female,1994-07-22,823-82-3106,110.832775,55.4708345
83,C_83,I,A,USD,false,1,0,1000000,72217.51,,bank,Ashley,Jones,70452 Forbes Courts,Mosesland,KS,US,75278,Female,1990-06-23,132-63-0568,99.294128,-30.033766
84,C_84,I,A,USD,false,1,0,1000000,59592.95,,bank,Daniel,Clayton,36397 Moore Stravenue,Terriside,PR,US,26819,Male,1928-03-05,284-72-0008,-135.288317,87.2444515
85,C_85,I,A,USD,false,1,0,1000000,84852.58,,bank,Kim,Ortiz,501 Kelly Crescent Apt. 438,Michelleland,MT,US,66394,Female,1921-08-19,608-60-5311,-86.512221,-10.3909235
86,C_86,I,A,USD,false,1,0,1000000,73924.98,,bank,Kellie,Green,400 Danielle Grove Apt. 558,Brandonbury,PR,US,91244,Female,1918-04-30,805-50-6859,-29.205819,66.3444015
87,C_87,I,A,USD,false,1,0,1000000,79159.90,,bank,Tanner,Horne,771 Brooks Pike Apt. 376,East Christopherville,GU,US,24437,Male,1912-10-05,772-47-8610,42.213352,-56.563659
88,C_88,I,A,USD,false,1,0,1000000,98628.89,,bank,Kristen,Wright,4667 Frank Walk Suite 332,Port Kevin,FL,US,24917,Female,1914-05-27,186-30-6839,-95.794972,-24.676682
89,C_89,I,A,USD,false,1,0,1000000,63074.60,,bank,Christopher,Wagner,238 Lindsey Walks,Lake Stevenborough,AR,US,54508,Male,1939-08-12,395-69-8621,84.775253,-62.3415195
90,C_90,I,A,USD,false,1,0,1000000,71098.81,,bank,David,Jones,010 Julie Mission,Tracistad,TN,US,52444,Male,2014-05-29,162-76-3976,-67.312458,-77.8275285
91,C_91,I,A,USD,false,1,0,1000000,79032.78,,bank,Adam,Hernandez,173 Mckinney Trace,New Courtney,NY,US,38401,Male,2001-06-14,367-47-4872,89.375174,82.243571
92,C_92,I,A,USD,false,1,0,1000000,74152.17,,bank,Larry,Foster,73965 Turner Dam,Cardenasmouth,MI,US,84106,Male,1965-04-22,713-65-4881,123.176264,-26.852995
93,C_93,I,A,USD,true,1,0,1000000,77289.73,,bank,Cheyenne,Scott,8282 Stark Green,Turnerhaven,AR,US,96119,Female,2004-10-15,071-03-3298,140.613752,-62.293694
94,C_94,I,A,USD,false,1,0,1000000,66364.40,,bank,Victor,Young,29259 Smith Shoals,North Cathyburgh,MP,US,41186,Male,2022-09-24,512-95-5952,10.437815,-66.4282795
95,C_95,I,A,USD,false,1,0,1000000,74921.19,,bank,Jon,Hernandez,020 Gomez Fords,Gonzalezburgh,WY,US,23938,Male,1991-03-09,518-53-9615,156.871047,-29.1478725
96,C_96,I,A,USD,false,1,0,1000000,77370.04,,bank,Derrick,Brewer,052 Werner Shoals,Toddfort,PA,US,43831,Male,1973-02-12,824-97-2615,-122.192723,47.5544015
97,C_97,I,A,USD,true,1,0,1000000,51591.34,,bank,Dennis,Glover,762 Miranda Spur Apt. 912,Phillipsville,TX,US,56307,Male,1997-02-26,365-66-8783,-139.879202,-87.831856
98,C_98,I,A,USD,false,1,0,1000000,88949.00,,bank,Amber,Gutierrez,16670 Welch Dam,Lake Philipshire,WA,US,30007,Female,1914-06-14,049-77-6544,-108.871873,60.395921
99,C_99,I,A,USD,false,1,0,1000000,97715.52,,bank,Michael,Hancock,6807 Ann Crossroad Apt. 921,Robertsview,IL,US,53341,Male,1917-09-16,537-09-0169,163.317669,-13.5879675
100,C_100,I,A,USD,false,1,0,1000000,68393.34,,bank,Jake,King,215 Joy Islands,West Beth,CA,US,11791,Male,1955-11-08,699-63-7710,107.603060,51.3168015
101,C_101,I,A,USD,false,1,0,1000000,56058.86,,bank,Maria,Wilson,6687 Stone Forges Apt. 685,North Douglas,AZ,US,50838,Female,1919-12-18,537-35-9262,-17.484919,4.5519355
102,C_102,I,A,USD,false,1,0,1000000,98929.48,,bank,Jessica,Montgomery,538 Jessica Tunnel Suite 580,New Chase,DE,US,48734,Female,1984-12-20,025-67-8320,-120.057862,-79.192981
103,C_103,I,A,USD,true,1,0,1000000,86399.92,,bank,Karen,Swanson,2547 Avila Manor,Port Deborahbury,SD,US,86285,Female,1957-07-19,700-93-2634,-156.542627,38.9126305
104,C_104,I,A,USD,false,1,0,1000000,80478.67,,bank,William,Bradley,4973 Jasmine Road,New Scott,OR,US,43461,Male,1996-03-26,148-66-7038,30.153492,-26.3195415
105,C_105,I,A,USD,false,1,0,1000000,96992.68,,bank,Christopher,Bush,34389 Dunlap Freeway Suite 925,East Megan,KS,US,72641,Male,1991-11-14,118-58-7862,-70.041018,-41.273156
106,C_106,I,A,USD,false,1,0,1000000,55467.18,,bank,Alex,Lee,187 Kelly Groves,West Megan,MD,US,96297,Male,1937-07-03,619-21-9130,66.066109,-68.2740245
107,C_107,I,A,USD,false,1,0,1000000,99235.77,,bank,Jaime,Shah,765 Brown Crescent Apt. 524,Parkerchester,PR,US,63640,Female,1922-11-24,744-11-1495,91.726973,-85.2943775
108,C_108,I,A,USD,true,1,0,1000000,69923.27,,bank,Tina,Ibarra,919 Andrew Turnpike Apt. 419,Mckinneyshire,RI,US,70128,Female,1948-06-28,303-21-3010,136.954610,-29.329344
109,C_109,I,A,USD,false,1,0,1000000,63078.12,,bank,Alicia,Medina,7429 Harris Dale,Dicksonburgh,ID,US,77674,Female,1975-12-27,695-17-4438,-136.211079,75.8793275
110,C_110,I,A,USD,false,1,0,1000000,73183.32,,bank,Mckenzie,Bryant,302 Joy Spring Apt. 622,Ryanhaven,MD,US,29335,Female,2001-01-31,454-30-4512,-78.668051,-63.053607
111,C_111,I,A,USD,false,1,0,1000000,82566.74,,bank,Deborah,Gross,8943 Tran Circles Apt. 619,New Melissamouth,FL,US,55886,Female,1937-03-30,780-23-1122,-37.696698,28.244160
112,C_112,I,A,USD,false,1,0,1000000,55093.11,,bank,Brent,Morales,049 Black Ports,Clarkborough,MO,US,11999,Male,1979-08-29,690-60-2752,-162.668940,-35.907116
113,C_113,I,A,USD,false,1,0,1000000,90438.80,,bank,Lindsey,Pierce,661 Alicia Forge,Davisville,NY,US,17569,Female,1981-06-09,655-80-7072,142.529016,16.0045125
114,C_114,I,A,USD,false,1,0,1000000,98439.41,,bank,Charles,Chavez,790 Reed Trafficway Apt. 037,New Evelyn,GU,US,01420,Male,1923-02-18,619-36-4752,30.551570,-1.672805
115,C_115,I,A,USD,false,1,0,1000000,55406.41,,bank,Kelly,Schultz,191 Wood Road Apt. 326,Port Andrew,LA,US,19372,Female,2011-04-20,694-19-1897,92.663937,-3.7065865
116,C_116,I,A,USD,false,1,0,1000000,75848.96,,bank,Dwayne,Stanley,3348 Curtis Street,Fosterberg,NV,US,10607,Male,1982-05-19,193-78-8017,7.863564,-48.2996555
117,C_117,I,A,USD,true,1,0,1000000,60445.79,,bank,Brian,Sanchez,3122 Moon Plain Suite 204,Berrystad,SD,US,13414,Male,1916-07-04,031-91-9656,-133.685782,34.997729
118,C_118,I,A,USD,false,1,0,1000000,58317.14,,bank,Sean,Mata,862 Colleen Springs Apt. 730,East Jasmine,TX,US,19409,Male,2026-02-19,782-76-2906,-143.539004,-61.651620
119,C_119,I,A,USD,false,1,0,1000000,55831.51,,bank,William,Delgado,794 Braun Station Apt. 270,Marvinchester,MS,US,03407,Male,1939-08-03,795-12-9709,-102.692789,-23.466348
120,C_120,I,A,USD,false,1,0,1000000,78200.13,,bank,Matthew,Nelson,5046 Jennifer Stravenue,Bradshawport,CT,US,58848,Male,2019-09-08,663-34-5019,-134.535181,8.7634545
121,C_121,I,A,USD,false,1,0,1000000,52040.77,,bank,Sara,Zimmerman,7048 Mcdonald Ville,East Mary,KY,US,14522,Female,1937-08-14,497-61-4338,96.697007,18.490419
122,C_122,I,A,USD,false,1,0,1000000,53773.51,,bank,Richard,Anderson,2035 Erickson Wall Apt. 064,Christyborough,MA,US,54280,Male,1997-12-05,127-32-5858,73.606456,28.489189
123,C_123,I,A,USD,false,1,0,1000000,78255.36,,bank,Nathan,Henderson,6659 Valerie Point Suite 210,Penabury,MO,US,84003,Male,2002-08-08,862-38-9844,-88.507324,-9.100916
124,C_124,I,A,USD,false,1,0,1000000,56055.87,,bank,Sierra,Duncan,502 Christopher Terrace,Shaunborough,IA,US,49585,Female,1946-04-15,559-22-7369,34.921881,-86.0126135
125,C_125,I,A,USD,false,1,0,1000000,66850.85,,bank,Michael,Wallace,3481 Oneal Cove,Joybury,PW,US,15084,Male,1933-03-31,477-34-2750,56.146482,63.2612325
126,C_126,I,A,USD,false,1,0,1000000,86071.34,,bank,Tracy,Morrison,11416 Jonathan Lights Apt. 798,Jacobtown,OR,US,55672,Female,1949-04-01,356-66-5142,73.887236,78.8150735
127,C_127,I,A,USD,false,1,0,1000000,61911.29,,bank,Alex,Garcia,454 Jacob Forges Suite 505,Howellport,TX,US,32901,Male,2009-12-09,530-24-3240,28.667358,71.500087
128,C_128,I,A,USD,true,1,0,1000000,70030.16,,bank,Michael,Everett,76775 James Ford,South Victorialand,VA,US,68528,Male,1965-10-22,629-36-3406,-137.740357,24.9100465
129,C_129,I,A,USD,false,1,0,1000000,50051.64,,bank,Jane,Newman,503 Decker Way Suite 784,North Christopherfurt,SD,US,54569,Female,2014-05-03,656-99-3805,-27.967109,40.112257
130,C_130,I,A,USD,true,1,0,1000000,50273.54,,bank,Patricia,Thompson,67741 Veronica Fort Suite 095,East Lydia,NM,US,09561,Female,1992-11-21,033-30-2933,-174.678756,85.611875
131,C_131,I,A,USD,false,1,0,1000000,96638.71,,bank,Elizabeth,Johnson,624 Alexander Place Apt. 272,Lake Darrylport,VA,US,40512,Female,2022-04-10,274-43-7559,-143.592750,-73.933686
132,C_132,I,A,USD,false,1,0,1000000,69062.07,,bank,Christopher,Wheeler,74836 Rodney Canyon Apt. 504,Brianton,RI,US,06150,Male,1933-09-23,482-84-1332,134.343013,-52.619566
133,C_133,I,A,USD,false,1,0,1000000,77099.82,,bank,Stacy,Fernandez,11913 Sarah Meadows,North Thomasmouth,NY,US,95807,Female,1929-07-02,876-48-6917,94.580400,-55.102993
134,C_134,I,A,USD,false,1,0,1000000,89795.23,,bank,Terry,Allen,831 Kemp Pines,Annashire,ND,US,51932,Male,2005-01-26,094-20-9912,37.482205,7.8044435
135,C_135,I,A,USD,false,1,0,1000000,71647.94,,bank,Ruth,Brennan,500 Douglas Streets Apt. 221,Navarroberg,KY,US,34677,Female,1934-02-16,673-45-5301,-72.569170,79.8648605
136,C_136,I,A,USD,false,1,0,1000000,58485.05,,bank,Andrew,Todd,45319 Michael Locks Apt. 468,Anthonymouth,IN,US,52153,Male,1983-10-16,277-21-4292,-154.941637,-18.1414305
137,C_137,I,A,USD,false,1,0,1000000,86543.09,,bank,Angela,Mitchell,604 Diana Viaduct Apt. 458,East Tylershire,RI,US,78265,Female,2005-02-11,695-06-4228,-177.213821,-81.935088
138,C_138,I,A,USD,false,1,0,1000000,89785.81,,bank,Kevin,Nixon,2639 Robin Bypass,South Nancy,TN,US,59436,Male,2022-07-25,355-47-1918,-171.034924,22.4182105
